124668802
         418478687 function calls (418478576 primitive calls) in 122.892 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20000   50.188    0.003  110.955    0.006 circuit2.py:161(count)
199999610   37.872    0.000   37.872    0.000 circuit2.py:246(__le__)
174318360   22.895    0.000   22.895    0.000 circuit2.py:256(__ge__)
 43607615    6.833    0.000    6.833    0.000 circuit2.py:261(__eq__)
    14970    4.634    0.000   11.466    0.001 {method 'remove' of 'list' objects}
        1    0.163    0.163  122.644  122.644 circuit2.py:337(_compute_crossings)
        3    0.046    0.015    0.046    0.015 {method 'sort' of 'list' objects}
        1    0.040    0.040    0.164    0.164 circuit2.py:119(from_file)
    34970    0.035    0.000    0.056    0.000 circuit2.py:20(__init__)
    34970    0.031    0.000    0.031    0.000 circuit2.py:133(<listcomp>)
        1    0.029    0.029    0.035    0.035 circuit2.py:327(_events_from_layer)
    34970    0.020    0.000    0.076    0.000 circuit2.py:99(add_wire)
    29940    0.016    0.000    0.016    0.000 circuit2.py:233(__init__)
    20000    0.011    0.000    0.011    0.000 circuit2.py:281(__init__)
    34972    0.011    0.000    0.011    0.000 {method 'split' of 'str' objects}
    34970    0.011    0.000    0.011    0.000 circuit2.py:81(next_object_id)
    69940    0.010    0.000    0.010    0.000 circuit2.py:47(is_horizontal)
    14970    0.009    0.000   11.476    0.001 circuit2.py:153(remove)
    20000    0.008    0.000    0.008    0.000 circuit2.py:290(__init__)
    49940    0.007    0.000    0.007    0.000 circuit2.py:362(trace_sweep_line)
    34972    0.006    0.000    0.007    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
    14970    0.006    0.000    0.007    0.000 circuit2.py:147(add)
    65222    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    20000    0.004    0.000    0.004    0.000 circuit2.py:51(is_vertical)
      177    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      177    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        4    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
     15/6    0.000    0.000    0.000    0.000 sre_parse.py:469(_parse)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
       23    0.000    0.000    0.000    0.000 {built-in method posix.stat}
     25/6    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
       14    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      177    0.000    0.000    0.000    0.000 codecs.py:331(getstate)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    31/12    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
      102    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        6    0.000    0.000    0.001    0.000 re.py:271(_compile)
      123    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000  122.892  122.892 circuit2.py:3(<module>)
     13/6    0.000    0.000    0.000    0.000 sre_parse.py:411(_parse_sub)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:793(get_code)
        9    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
  313/285    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        6    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      192    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        6    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
